"proyecto" "folioviv" "foliohog" "numren" "conyu" "inglab" "pea" "c_ocupa" "sector_act" "ocup_16omas" "ocup" "trab_formal" "pering" "asis_esc" "años_escolaridad" "preslab" "jub" "factor" "habl_ind" "edo_civ" "pob_ind" "tam_loc" "ic_rezedu" "ic_asalud" "ic_segsoc" "ic_cv" "ic_sbv" "ic_ali" "ictpc" "sexo" "edad" "ictpc2" "mun" "ayuotr" "bengob" "est_calidad_vivienda" "actcom" "tdep" "remesas" "rururb" "bienes" "jsexo" "jedad" "pcpering" "pcocup" "jaesc" "clase_hog" "jnived"
2 156004 0 4 0 3892.561 1 3 3 1 1 NA 1 2 9 0 0 741 0 2 0 2 0 0 1 0 0 0 1622.5846 0 29 1622.5846 5 0 1 2 1 2 0 0 10 1 75 83.33333 50 6 3 4
2 156004 0 5 0 NA 4 7 6 0 0 5 0 1 2 NA 0 741 0 NA 0 2 0 0 0 0 0 0 1622.5846 1 8 1622.5846 5 0 1 2 1 2 0 0 10 1 75 83.33333 50 6 3 4
2 156004 0 6 0 0 4 7 6 0 0 5 1 1 5 NA 0 741 0 NA 0 2 0 0 0 0 0 0 1622.5846 0 11 1622.5846 5 0 1 2 1 2 0 0 10 1 75 83.33333 50 6 3 4
2 156005 0 1 0 NA 3 6 5 0 0 4 0 2 3 NA 0 741 0 2 0 2 1 0 0 0 0 0 1550.6842 1 70 1550.6842 5 1 0 4 1 2 0 0 10 1 70 66.66667 33.33334 3 3 3
2 156005 0 2 1 NA 3 6 5 0 0 4 0 2 0 NA 0 741 0 2 0 2 1 0 0 0 0 0 1550.6842 0 65 1550.6842 5 1 0 4 1 2 0 0 10 1 70 66.66667 33.33334 3 3 3
2 156005 0 3 0 3202.916 1 2 2 1 1 1 1 2 12 1 0 741 0 6 0 2 0 0 0 0 0 0 1550.6842 1 28 1550.6842 5 1 0 4 1 2 0 0 10 1 70 66.66667 33.33334 3 3 3
2 156005 0 4 0 3202.916 1 3 2 1 1 1 1 2 3 1 0 741 0 6 0 2 1 0 0 0 0 0 1550.6842 0 30 1550.6842 5 1 0 4 1 2 0 0 10 1 70 66.66667 33.33334 3 3 3
2 156005 0 5 0 0 4 7 6 0 0 5 1 1 3 NA 0 741 0 NA 0 2 0 1 1 0 0 0 1550.6842 1 9 1550.6842 5 1 0 4 1 2 0 0 10 1 70 66.66667 33.33334 3 3 3
2 156005 0 6 0 0 4 7 6 0 0 5 1 1 7 NA 0 741 0 6 0 2 0 1 1 0 0 0 1550.6842 0 14 1550.6842 5 1 0 4 1 2 0 0 10 1 70 66.66667 33.33334 3 3 3
2 159001 0 1 0 4796.6718 1 2 3 1 1 NA 1 2 9 0 0 1819 0 2 0 4 0 0 1 0 0 0 1253.4317 1 24 1253.4317 5 0 0 2 0 1.5 0 1 3 1 24 20 20 9 2 6
2 159001 0 2 1 NA 3 6 5 0 0 4 0 2 6 NA 0 1819 0 2 0 4 0 0 1 0 0 0 1253.4317 0 29 1253.4317 5 0 0 2 0 1.5 0 1 3 1 24 20 20 9 2 6
2 159001 0 3 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 0 0 1253.4317 0 4 1253.4317 5 0 0 2 0 1.5 0 1 3 1 24 20 20 9 2 6
2 159002 0 1 0 1823.7346 1 1 1 1 1 NA 1 2 2 0 0 1819 0 2 0 4 1 0 0 0 0 0 3638.2377 1 71 3638.2377 5 0 1 2 0 0.6666667 0 1 9 1 71 40 80 2 2 3
2 159002 0 2 1 NA 3 6 5 0 0 4 0 2 3 NA 0 1819 0 2 0 4 1 0 0 0 0 0 3638.2377 0 66 3638.2377 5 0 1 2 0 0.6666667 0 1 9 1 71 40 80 2 2 3
2 159002 0 3 0 14169.362 1 3 3 1 1 1 1 2 11 1 0 1819 0 6 0 4 0 0 0 0 0 0 3638.2377 1 32 3638.2377 5 0 1 2 0 0.6666667 0 1 9 1 71 40 80 2 2 3
2 159002 0 4 0 0 1 1 1 1 1 NA 0 2 9 0 0 1819 0 6 0 4 0 1 1 0 0 0 3638.2377 1 30 3638.2377 5 0 1 2 0 0.6666667 0 1 9 1 71 40 80 2 2 3
2 159002 0 5 0 0 1 1 1 1 1 NA 0 2 11 0 0 1819 0 6 0 4 0 1 1 0 0 0 3638.2377 1 28 3638.2377 5 0 1 2 0 0.6666667 0 1 9 1 71 40 80 2 2 3
2 159003 0 1 0 7818.2297 1 3 3 1 1 1 1 2 9 1 0 1819 0 2 0 4 0 0 0 0 0 0 2214.9989 1 33 2214.9989 5 0 0 2 0 0.3333333 0 1 6 1 33 25 25 9 2 6
2 159003 0 2 1 NA 3 6 5 0 0 4 0 2 6 NA 0 1819 0 2 0 4 0 0 0 0 0 0 2214.9989 0 32 2214.9989 5 0 0 2 0 0.3333333 0 1 6 1 33 25 25 9 2 6
2 159003 0 3 0 NA 3 6 5 0 0 4 0 2 9 NA 0 1819 0 6 0 4 0 0 1 0 0 0 2214.9989 0 19 2214.9989 5 0 0 2 0 0.3333333 0 1 6 1 33 25 25 9 2 6
2 159003 0 4 0 NA 4 7 6 0 0 5 0 1 5 NA 0 1819 0 NA 0 4 0 0 0 0 0 0 2214.9989 1 11 2214.9989 5 0 0 2 0 0.3333333 0 1 6 1 33 25 25 9 2 6
2 159004 0 1 0 4796.6718 1 1 2 1 1 NA 1 2 9 0 0 1819 0 2 0 4 0 0 1 0 0 0 1909.9721 1 41 1909.9721 5 0 1 2 1 0.3333333 0 1 6 1 41 50 50 9 2 6
